CUST_NAME,AGE,GENDER,RACE,STATE,MONTHLY_INCOME,ONLINE_CUST
Cust286,53,[2]Male,[1]Bumiputra,PULAU PINANG,4630,0
Cust287,53,[1]Female,[2]Chinese,SELANGOR,5310,0
Cust288,53,[1]Female,[1]Bumiputra,PULAU PINANG,3040,0
Cust289,53,[1]Female,[2]Chinese,NEGERI SEMBILAN,9200,0
Cust290,53,[2]Male,[1]Bumiputra,JOHOR,3680,0
Cust291,53,[2]Male,[1]Bumiputra,SELANGOR,7620,0
Cust292,53,[1]Female,[2]Chinese,SELANGOR,11910,0
Cust293,53,[2]Male,[1]Bumiputra,PERAK,4010,0
Cust294,53,[1]Female,[2]Chinese,PERAK,10610,0
Cust295,53,[2]Male,[2]Chinese,KUALA LUMPUR,6910,0
Cust296,53,[2]Male,[1]Bumiputra,KUALA LUMPUR,15000,0
Cust297,53,[2]Male,[2]Chinese,NEGERI SEMBILAN,6200,0
Cust298,53,[1]Female,[2]Chinese,SELANGOR,15000,0
Cust299,53,[2]Male,[2]Chinese,MELAKA,2830,0
Cust300,53,[2]Male,[2]Chinese,JOHOR,3030,0
Cust301,53,[2]Male,[2]Chinese,SELANGOR,15000,0
Cust302,53,[1]Female,[2]Chinese,JOHOR,5840,0
Cust303,53,[1]Female,[3]Indian,PERAK,2990,0
Cust304,53,[1]Female,[2]Chinese,KUALA LUMPUR,2500,0
Cust305,53,[1]Female,[2]Chinese,PULAU PINANG,6060,0
Cust306,53,[2]Male,[1]Bumiputra,PAHANG,6090,0
Cust307,52,[1]Female,[2]Chinese,JOHOR,3080,0
Cust308,52,[2]Male,[2]Chinese,MELAKA,3680,0
Cust309,52,[2]Male,[2]Chinese,PERAK,6670,0
Cust310,52,[2]Male,[1]Bumiputra,SELANGOR,6730,0
Cust311,52,[1]Female,[2]Chinese,NEGERI SEMBILAN,4500,0
Cust312,52,[2]Male,[3]Indian,KUALA LUMPUR,14960,0
Cust313,52,[1]Female,[1]Bumiputra,KUALA LUMPUR,3760,0
Cust314,52,[2]Male,[1]Bumiputra,SELANGOR,6970,0
Cust315,52,[2]Male,[2]Chinese,PULAU PINANG,8330,0
Cust316,52,[2]Male,[1]Bumiputra,PULAU PINANG,3030,0
Cust317,52,[2]Male,[2]Chinese,KELANTAN,12940,0
Cust318,52,[1]Female,[2]Chinese,KUALA LUMPUR,4660,0
Cust319,52,[2]Male,[3]Indian,SELANGOR,13330,0
Cust320,52,[1]Female,[1]Bumiputra,KUALA LUMPUR,3460,0
Cust321,52,[1]Female,[2]Chinese,SELANGOR,8000,0
Cust322,52,[2]Male,[1]Bumiputra,JOHOR,5000,0
Cust323,52,[1]Female,[2]Chinese,PULAU PINANG,7010,0
Cust324,52,[2]Male,[1]Bumiputra,KUALA LUMPUR,6800,0
Cust325,52,[1]Female,[1]Bumiputra,KEDAH,5570,0
Cust326,52,[2]Male,[3]Indian,MELAKA,4880,0
Cust327,52,[1]Female,[1]Bumiputra,NEGERI SEMBILAN,8050,0
Cust328,52,[2]Male,[2]Chinese,NEGERI SEMBILAN,7520,0
Cust329,52,[1]Female,[1]Bumiputra,PAHANG,7400,0
Cust330,52,[2]Male,[2]Chinese,SELANGOR,13750,0
Cust331,52,[2]Male,[4]Others,JOHOR,4090,0
Cust332,52,[2]Male,[2]Chinese,SELANGOR,23150,0
Cust333,52,[2]Male,[2]Chinese,JOHOR,12850,0
Cust334,52,[2]Male,[2]Chinese,SELANGOR,8240,0
Cust335,51,[1]Female,[1]Bumiputra,KEDAH,2150,0
Cust336,51,[2]Male,[2]Chinese,JOHOR,26270,0
Cust337,51,[1]Female,[1]Bumiputra,SELANGOR,3470,0
Cust338,51,[1]Female,[1]Bumiputra,KEDAH,2220,0
Cust339,51,[2]Male,[1]Bumiputra,SELANGOR,1830,0
Cust340,51,[1]Female,[3]Indian,NEGERI SEMBILAN,6520,0
Cust341,51,[2]Male,[1]Bumiputra,KELANTAN,4820,0
Cust342,51,[2]Male,[2]Chinese,JOHOR,7350,0
Cust343,51,[2]Male,[1]Bumiputra,KELANTAN,5080,0
Cust344,51,[1]Female,[1]Bumiputra,PULAU PINANG,2250,0
Cust345,51,[2]Male,[2]Chinese,PULAU PINANG,3110,0
Cust346,51,[2]Male,[1]Bumiputra,NEGERI SEMBILAN,6230,0
Cust347,51,[2]Male,[1]Bumiputra,MELAKA,3180,0
Cust348,51,[2]Male,[2]Chinese,KEDAH,12490,0
Cust349,51,[1]Female,[2]Chinese,SELANGOR,5190,0
Cust350,51,[2]Male,[2]Chinese,SELANGOR,5510,0
Cust351,51,[2]Male,[1]Bumiputra,PULAU PINANG,6100,0
Cust352,51,[1]Female,[1]Bumiputra,KUALA LUMPUR,4230,0
Cust353,51,[1]Female,[2]Chinese,PULAU PINANG,3550,0
Cust354,51,[1]Female,[2]Chinese,MELAKA,19000,0
Cust355,51,[1]Female,[2]Chinese,PULAU PINANG,9550,0
Cust356,51,[2]Male,[1]Bumiputra,KUALA LUMPUR,4990,0
Cust357,51,[2]Male,[1]Bumiputra,PUTRAJAYA,4890,0
Cust358,51,[2]Male,[1]Bumiputra,PERAK,4850,0
Cust359,51,[1]Female,[2]Chinese,PULAU PINANG,2070,0
Cust360,51,[2]Male,[2]Chinese,KELANTAN,5290,0
Cust361,51,[1]Female,[1]Bumiputra,KEDAH,6570,0
Cust362,51,[2]Male,[1]Bumiputra,SELANGOR,6240,0
Cust363,51,[2]Male,[2]Chinese,NEGERI SEMBILAN,15000,0
Cust364,51,[1]Female,[2]Chinese,SELANGOR,5350,0
Cust365,51,[1]Female,[2]Chinese,SELANGOR,3600,0
Cust366,51,[2]Male,[2]Chinese,KUALA LUMPUR,5250,0
Cust367,51,[2]Male,[1]Bumiputra,SELANGOR,4110,0
Cust368,51,[2]Male,[2]Chinese,SELANGOR,11000,0
Cust369,50,[2]Male,[1]Bumiputra,SELANGOR,3480,0
Cust370,50,[1]Female,[2]Chinese,SELANGOR,3890,0
Cust371,50,[1]Female,[2]Chinese,KUALA LUMPUR,23660,0
Cust372,50,[1]Female,[2]Chinese,PULAU PINANG,7990,0
Cust373,50,[2]Male,[2]Chinese,JOHOR,6000,0
Cust374,50,[2]Male,[1]Bumiputra,KEDAH,9600,0
Cust375,50,[1]Female,[2]Chinese,PULAU PINANG,2080,0
Cust376,50,[2]Male,[2]Chinese,SELANGOR,10440,0
Cust377,50,[2]Male,[1]Bumiputra,KUALA LUMPUR,3680,0
Cust378,50,[1]Female,[1]Bumiputra,PULAU PINANG,2440,0
Cust379,50,[1]Female,[1]Bumiputra,SELANGOR,2540,0
Cust380,50,[2]Male,[2]Chinese,SELANGOR,5000,0
Cust381,50,[1]Female,[2]Chinese,KUALA LUMPUR,6370,0
Cust382,50,[1]Female,[1]Bumiputra,KEDAH,2210,0
Cust383,50,[1]Female,[2]Chinese,KUALA LUMPUR,6200,0
Cust384,50,[2]Male,[1]Bumiputra,KEDAH,10590,0
Cust385,50,[2]Male,[2]Chinese,SELANGOR,10030,0
Cust386,50,[1]Female,[1]Bumiputra,SELANGOR,3140,0
Cust387,50,[1]Female,[2]Chinese,PULAU PINANG,4600,0
Cust388,50,[2]Male,[2]Chinese,PERAK,2000,0
Cust389,50,[2]Male,[1]Bumiputra,SELANGOR,5190,0
Cust390,50,[2]Male,[2]Chinese,JOHOR,6690,0
Cust391,50,[2]Male,[1]Bumiputra,SELANGOR,15000,0
Cust392,50,[2]Male,[2]Chinese,KEDAH,12230,0
Cust393,50,[2]Male,[2]Chinese,SELANGOR,10710,0
Cust394,50,[2]Male,[1]Bumiputra,KEDAH,2470,0
Cust395,50,[2]Male,[1]Bumiputra,KUALA LUMPUR,4320,0
Cust396,50,[2]Male,[1]Bumiputra,SELANGOR,6050,0
Cust397,50,[1]Female,[2]Chinese,KEDAH,8830,0
Cust398,50,[1]Female,[4]Others,SELANGOR,8000,0
Cust399,50,[1]Female,[1]Bumiputra,KEDAH,3000,0
